,oil_rents,map
610,0.37855490980618106,TEC1980
611,0.287893393426841,TEC1981
612,0.169843886100554,TEC1982
613,0.254782410769248,TEC1983
614,0.56278778753281,TEC1984
615,0.54692777268991,TEC1985
616,0.20782085890148397,TEC1986
617,0.989603537415068,TEC1987
618,3.36963559428017,TEC1988
619,5.40988737050732,TEC1989
620,5.920091814000631,TEC1990
621,2.6029524136586897,TEC1991
622,2.61129899302515,TEC1992
623,2.2891670515091,TEC1993
624,2.13629286639445,TEC1994
625,2.18435999085008,TEC1995
626,2.9050696620022594,TEC1996
627,2.21826284338569,TEC1997
628,0.578014647993274,TEC1998
629,2.35570490362114,TEC1999
630,5.267443830547769,TEC2000
631,4.10440186138566,TEC2001
632,4.24173614254861,TEC2002
633,4.4801431797013604,TEC2003
634,5.12080448078797,TEC2004
635,6.1346807819003795,TEC2005
636,6.3121668000709805,TEC2006
637,5.5744459756897,TEC2007
638,6.38765987146324,TEC2008
639,4.36913682287998,TEC2009
640,5.4775918784883,TEC2010
641,6.87026363852796,TEC2011
642,6.40178222449687,TEC2012
643,5.537068104742151,TEC2013
644,5.29851400678237,TEC2014
645,2.8918603512220096,TEC2015
646,2.4268046605549,TEC2016
647,3.34653375582671,TEC2017
648,,TEC2018
649,,EUU1960
650,,EUU1961
651,,EUU1962
652,,EUU1963
653,,EUU1964
654,,EUU1965
655,,EUU1966
656,,EUU1967
657,,EUU1968
658,,EUU1969
659,0.0017093449857940599,EUU1970
660,0.00188612537567908,EUU1971
661,0.0023148641393831697,EUU1972
662,0.0046089785049622,EUU1973
663,0.0339703724929633,EUU1974
664,0.0281869563847977,EUU1975
665,0.0509901897278969,EUU1976
666,0.0981690581015992,EUU1977
667,0.106272803111479,EUU1978
668,0.294566109943234,EUU1979
669,0.337620972497035,EUU1980
670,0.321998690826003,EUU1981
671,0.21256098834558498,EUU1982
672,0.35898626982054505,EUU1983
673,0.43393308908059397,EUU1984
674,0.44072546121209794,EUU1985
675,0.131723301644268,EUU1986
676,0.186447999979363,EUU1987
677,0.11815822336070302,EUU1988
678,0.155883248386714,EUU1989
679,0.170865218664743,EUU1990
680,0.0768333584675432,EUU1991
681,0.0767848391766793,EUU1992
