code,year,residual
DNK,2015,-0.5259403676280188
DNK,2016,-0.8722329141733884
DOM,1970,0.07045947944406425
DOM,1971,-0.003798666256830563
DOM,1972,0.04084084436748614
DOM,1973,-0.09729096447807628
DOM,1974,0.06641827676493012
DOM,1975,-0.3379836136007351
DOM,1976,-0.02608357872640299
DOM,1977,-0.05827602574618235
DOM,1978,-0.05967905680986019
DOM,1979,0.07859219729993216
DOM,1980,-0.0701020333574392
DOM,1981,0.05152421710938149
DOM,1982,-0.16043329340243545
DOM,1983,-0.092617938947341
DOM,1984,-0.23661203531615477
DOM,1985,-0.17197871399726244
DOM,1986,0.013900245139348177
DOM,1987,-0.06686284165119999
DOM,1988,0.16302987505671518
DOM,1989,0.2864817903480234
DOM,1990,0.142536926628183
DOM,1991,0.13277281507895206
DOM,1992,0.3427190474308476
DOM,1993,0.35497737821805236
DOM,1994,0.1386361332535083
DOM,1995,-0.02696496550515598
DOM,1996,0.3020952636550548
DOM,1997,0.14842710148330113
DOM,1998,0.07348121370970007
DOM,1999,0.0381773763692789
DOM,2000,0.09778352971055873
DOM,2001,0.11012032377930644
DOM,2002,0.00135816916970935
DOM,2003,-0.13649498142349079
DOM,2004,-0.12534132781241936
DOM,2005,0.017017731586853685
DOM,2006,0.06922520729263978
DOM,2007,0.21749008882572568
DOM,2008,0.24751638470359832
DOM,2009,0.18389154428157667
DOM,2010,0.2957692273672204
DOM,2011,0.24981358930782369
DOM,2012,0.42571108417722864
DOM,2013,0.4134719464251668
DOM,2014,0.42024141430005313
DOM,2015,0.46399975169746804
DOM,2016,0.47372862563344814
DZA,1970,0.2546965216247765
DZA,1971,0.4528641921185738
DZA,1972,0.33535071284096024
DZA,1973,0.2681378912921034
DZA,1974,0.09282158287896886
DZA,1975,0.43909666680459264
DZA,1976,0.027791492202298484
DZA,1977,-0.0006487073802036725
DZA,1978,0.48491936167033556
DZA,1979,0.6566328495859644
DZA,1980,0.20390508063737955
DZA,1981,0.1660618156877411
DZA,1982,0.7129000776310586
DZA,1983,0.923526584062399
DZA,1984,0.38933296114695914
DZA,1985,0.2775762620797264
DZA,1986,0.4774917489454852
DZA,1987,0.29154799353770583
DZA,1988,0.8918850185184215
DZA,1989,1.0854887852271573
DZA,1990,0.2674939419291321
DZA,1991,0.620059176273527
DZA,1992,0.4264671487235203
DZA,1993,0.4770771374451479
DZA,1994,0.7960782991570841
DZA,1995,0.8640889333540505
