,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year
447,0.6749230446327047,0.7737991847919476,0.8514527541373523,12615.503432212321,25170600.0,0.02726136594458564,0.06066115543094579,0.09847722299023584,3.19452976519595,5.366990712580854,6.851079710037265e-05,CAN1980,CAN,1980
448,0.6028859126848376,0.6304384763823087,0.5037301557063106,16842.459025270684,26594000.0,0.018109284916675367,0.04679119435196193,0.07760302222275695,1.471786657212146,2.9244949729157,7.336367687217419e-05,CAN1985,CAN,1985
449,0.28712521920700695,0.30051272649868377,0.30294099055679374,20736.75478411626,28485519.0,0.019175365710656384,0.043997365843737604,0.07362338902839057,1.1954524115806957,2.489399008724122,7.577144309249958e-05,CAN1990,CAN,1990
450,0.36416439578040216,0.42480077654643766,0.4475261640404618,21317.18177333408,29952040.0,0.026269965990951084,0.0558400522335839,0.09070467461596968,0.8974397816345755,2.316815609591066,8.62132930152246e-05,CAN1995,CAN,1995
451,0.2762750459154815,0.3587763103391078,0.407660796736437,26427.11779630832,31376920.0,0.043684402109373154,0.06897288329632043,0.09514828216095063,1.1169197749587592,3.3348214121177904,9.413692033819919e-05,CAN2000,CAN,2000
452,0.19497525572412622,0.2714782342924299,0.32266453273420154,41698.12100458948,32928955.4,0.05780786568063014,0.08838806636777286,0.107018758096409,1.7649215592831495,4.049001188502288,0.0001002319124078902,CAN2005,CAN,2005
453,0.09564515078005498,0.16548092143367957,0.1623955449037159,51015.58110780636,34757263.4,0.06012400859891302,0.08865418115473551,0.10576057595263691,1.4902543247628224,2.533854151242514,0.0001112870878125533,CAN2010,CAN,2010
454,0.0896673244984135,0.18684257307826466,0.17026270356198203,43434.61661879377,36268400.0,0.04193878277659984,0.06685733595457463,0.08655229071666612,0.4675957651638874,1.2420626755674118,0.0001292955501515602,CAN2015,CAN,2015
455,1.8114124475209454,2.0633251243658712,1.8725989018278684,,,,,,,,,CCK1970,CCK,1970
456,1.2670533025441348,1.1198120788386796,1.0264026920041769,,,,,,,,,CCK1975,CCK,1975
457,0.5555678328548213,0.4384521342303317,1.059459435589809,,,,,,,,,CCK1980,CCK,1980
458,0.5651956512659115,0.46681674780377,1.02624849287106,,,,,,,,,CCK1985,CCK,1985
459,0.6562829698213359,0.6642284043917185,0.702754603783748,,,,,,,,,CCK1990,CCK,1990
460,0.10583747951278508,0.29585777914757116,0.45061524249537976,,,,,,,,,CCK1995,CCK,1995
461,1.8595862227086815,1.731266059207822,1.6444308819873599,,,,,,,,,CCK2000,CCK,2000
462,1.6487264464193587,1.7777053968678367,1.7384452188126793,,,,,,,,,CCK2005,CCK,2005
463,2.3272236752853024,2.2481150372891276,2.122623792799935,,,,,,,,,CCK2010,CCK,2010
464,2.5821736293551436,2.558634325561163,2.355804587799714,,,,,,,,,CCK2015,CCK,2015
465,,,,,93039962.2,,,,,,,CEB1960,CEB,1960
466,,,,,97024249.2,,,,,,,CEB1965,CEB,1965
467,,,,,100435912.6,,,,,,,CEB1970,CEB,1970
468,,,,,104506307.2,,,,,,,CEB1975,CEB,1975
469,,,,,107743564.2,,,,0.08011204213740182,1.727747659173994,,CEB1980,CEB,1980
470,,,,,110198422.4,,,,0.5990508758468999,2.487481837644812,,CEB1985,CEB,1985
471,,,,2438.7882713381177,110277513.4,,,,0.25430031793398045,1.770948131834198,,CEB1990,CEB,1990
472,,,,3821.32026426234,109442348.8,,,,0.1250626938046322,0.8190539146109975,,CEB1995,CEB,1995
473,,,,5270.829227714157,107204699.8,,,,0.19055756857769982,0.9527220584390015,,CEB2000,CEB,2000
474,,,,11337.426215328534,105399099.6,,,,0.18247729222797543,1.2145786550784015,,CEB2005,CEB,2005
475,,,,13459.448492164942,103948141.6,,,,0.20762253677779122,1.171490048726827,,CEB2010,CEB,2010
476,,,,13137.378225567232,102995814.33333333,,,,0.0782622303779044,0.6711651417476764,,CEB2015,CEB,2015
