Country,Year,NY.GDP.TOTL.RT.ZS
HPC,1981,6.86957215083421
HPC,1982,8.20636733597927
HPC,1983,6.93259681481001
HPC,1984,6.95965656223494
HPC,1985,5.93787888081457
HPC,1986,5.70504624636477
HPC,1987,5.95937350034702
HPC,1988,6.917272486976
HPC,1989,8.27290588597454
HPC,1990,9.5339168830259
HPC,1991,7.79633525659112
HPC,1992,8.72027800973393
HPC,1993,7.29200922237775
HPC,1994,9.39648152315915
HPC,1995,11.5921854264773
HPC,1996,11.384731166232
HPC,1997,10.2468152673971
HPC,1998,9.09007807883591
HPC,1999,6.88076937851584
HPC,2000,8.26587241998011
HPC,2001,7.5118568556423
HPC,2002,7.99366647928194
HPC,2003,10.3509353669399
HPC,2004,10.6052284553827
HPC,2005,12.2171471112809
HPC,2006,13.3578397114446
HPC,2007,14.1530511669338
HPC,2008,15.3208063364709
HPC,2009,11.7717864284176
HPC,2010,13.2171547523372
HPC,2011,16.3286452099878
HPC,2012,14.5671803289166
HPC,2013,13.364230793528
HPC,2014,12.1465103644295
HPC,2015,10.0928536578455
HPC,2016,10.1434854189999
HPC,2017,10.5500672802064
HPC,2018,
HIC,1960,
HIC,1961,
HIC,1962,
HIC,1963,
HIC,1964,
HIC,1965,
HIC,1966,
HIC,1967,
HIC,1968,
HIC,1969,
HIC,1970,0.771194599674388
HIC,1971,0.755404378881089
HIC,1972,0.760738748131401
HIC,1973,1.01150854804226
HIC,1974,2.91500301683918
HIC,1975,2.70783000087509
HIC,1976,2.88634975951587
HIC,1977,2.8113555029142
HIC,1978,2.31777005910265
HIC,1979,4.07946942800138
HIC,1980,4.66164569525295
HIC,1981,3.82355552858726
HIC,1982,2.38292028894257
HIC,1983,2.48412149922904
HIC,1984,2.37731006068553
HIC,1985,2.08923745580107
HIC,1986,0.9460071707299
HIC,1987,1.08350517247619
HIC,1988,0.929091216883815
HIC,1989,1.13908185145278
HIC,1990,1.31195761392216
HIC,1991,0.870289903181458
HIC,1992,0.863683137433607
HIC,1993,0.845474960633325
HIC,1994,0.732490061203889
HIC,1995,0.746066463780638
HIC,1996,0.947206126034689
HIC,1997,0.847587544541484
HIC,1998,0.532901989840147
HIC,1999,0.704277457333827
HIC,2000,1.27464937147165
HIC,2001,1.12093984469565
HIC,2002,0.929917771514117
HIC,2003,1.07689224128671
HIC,2004,1.40986374920377
HIC,2005,1.77004537501829
HIC,2006,1.93400520880419
HIC,2007,1.90072517258915
HIC,2008,2.67051015116704
HIC,2009,1.45388995831013
HIC,2010,1.88716368460953
HIC,2011,2.58407608168918
HIC,2012,2.39843747067365
HIC,2013,2.27784586275893
HIC,2014,1.99992546470088
HIC,2015,1.10839983552157
HIC,2016,0.972488549305802
HIC,2017,1.23316592948268
HIC,2018,
IBD,1960,
IBD,1961,
IBD,1962,
IBD,1963,
IBD,1964,
IBD,1965,
IBD,1966,
IBD,1967,
IBD,1968,
IBD,1969,
IBD,1970,2.4874646739254
IBD,1971,2.55003693712782
IBD,1972,2.79047062639078
IBD,1973,3.85602171002861
IBD,1974,9.26823500762395
IBD,1975,8.83110727075978
IBD,1976,9.36927162287228
IBD,1977,9.12856096595961
IBD,1978,8.59679462562807
IBD,1979,12.2121112981038
IBD,1980,13.4481818416602
IBD,1981,10.0629155970198
IBD,1982,8.77045369375206
IBD,1983,9.24131338565563
IBD,1984,8.44133555009706
IBD,1985,8.17464050867677
IBD,1986,4.59198350810696
IBD,1987,5.89571313711978
IBD,1988,5.55461556019791
IBD,1989,7.32278706957545
IBD,1990,8.2414594096363
IBD,1991,4.68634451599534
IBD,1992,4.75531385451925
IBD,1993,4.45668554458353
IBD,1994,3.81783747605544
IBD,1995,3.98961260529321
IBD,1996,4.36234154029483
IBD,1997,3.72029334939666
IBD,1998,2.31576010679393
IBD,1999,3.26993975404069
IBD,2000,5.52379832184244
IBD,2001,4.95868975029497
IBD,2002,4.80543257961094
IBD,2003,5.2482869528218
IBD,2004,7.16976163775701
IBD,2005,8.52654198503364
IBD,2006,9.39493967573342
IBD,2007,9.1571825666747
IBD,2008,11.3977353958627
IBD,2009,6.36215514802549
IBD,2010,7.87767520350384
IBD,2011,9.60372848870568
IBD,2012,7.7058824733918
IBD,2013,6.58962923755275
IBD,2014,5.56668539288789
IBD,2015,3.24446795658791
IBD,2016,2.83525146461048
IBD,2017,3.5125165934899
IBD,2018,
IBT,1960,
IBT,1961,
IBT,1962,
IBT,1963,
IBT,1964,
IBT,1965,
IBT,1966,
IBT,1967,
IBT,1968,
IBT,1969,
IBT,1970,2.73639363462854
IBT,1971,2.63830722700296
IBT,1972,2.88158411135231
IBT,1973,4.0936172473276
IBT,1974,9.57923815676646
IBT,1975,8.83019440177675
IBT,1976,9.35582564922238
IBT,1977,9.31770020692215
IBT,1978,8.64437228351582
IBT,1979,12.6537931086148
IBT,1980,13.2972185308286
