,map,res_exp1,res_exp2,res_exp3
6462,MEX1967,61646621.44140625,224286550.4729309,663079714.5763245
6463,MEX1968,61377342.26660156,290188576.85150146,716628858.1220398
6464,MEX1969,64172756.58984375,270474145.5083008,680549183.8312988
6465,MEX1970,60843141.88476562,263296153.09710693,574935824.9949341
6466,MEX1971,28202497.478515625,267736149.94995117,600851336.1920319
6467,MEX1972,22678844.65606689,292256322.3824463,665189105.2868042
6468,MEX1973,26400312.75,460850724.9995117,948403826.8947449
6469,MEX1974,146111210.109375,761986480.9790955,1465582243.8735657
6470,MEX1975,456315978.2832031,917504350.2497559,1609629193.7346191
6471,MEX1976,554443830.265625,1081191768.5336914,1796672365.7193298
6472,MEX1977,948878450.7587893,1641196757.4520876,2547731340.11261
6473,MEX1978,1600244382.75,2228966204.5374756,3008552138.4848633
6474,MEX1979,3439225503.875,4319106214.084473,5395425097.871216
6475,MEX1980,8479043454.757811,9753334716.4187,10736767162.291502
6476,MEX1981,12048817241.921877,13062416582.871553,13984007077.028841
6477,MEX1982,13818964920.03125,14706651549.892334,15614759084.184387
6478,MEX1983,15253081374.171875,16889628203.817871,18154749089.13208
6479,MEX1984,14970227127.109375,16524687848.32837,17573612291.66382
6480,MEX1985,14074557222.0,15169844107.435059,16285252269.371948
6481,MEX1986,6982767121.125,8417744878.650513,10205274831.398163
6482,MEX1987,8416739816.25,10432935011.569824,11764103846.200684
6483,MEX1988,6533359783.484375,9024789147.344727,10470087770.68518
6484,MEX1989,7291037739.2421875,9994958620.222656,11550470582.314941
6485,MEX1990,9421507968.0,11944303133.0,13194122262.0
6486,MEX1991,8035736100.0,10205548027.0,11509561369.0
6487,MEX1992,8037625070.0,10288165462.0,11438304574.0
6488,MEX1993,7706366269.0,10289735553.0,11491106312.0
6489,MEX1994,7175999264.0,10193502049.0,11662584527.0
6490,MEX1995,7983754444.0,13655143480.0,15849578572.0
6491,MEX1996,9990720198.0,15096997858.0,17460396729.0
6492,MEX1997,11195134358.0,16698312124.0,19403362641.0
6493,MEX1998,7241007473.0,12582495944.0,15019499159.0
6494,MEX1999,9574390717.0,14720245731.0,16957486346.0
6495,MEX2000,16642164373.0,22134167717.0,24312628258.0
6496,MEX2001,13535803524.0,18443355423.0,20233130919.0
6497,MEX2002,15274978901.0,20252054109.0,22180069306.0
6498,MEX2003,19279672523.0,24580408229.0,26492993410.0
6499,MEX2004,24399356266.0,32796291623.0,34999833029.0
6500,MEX2005,32404982508.0,42092970189.0,44550719438.0
6501,MEX2006,39383865343.0,50720627038.0,53902658093.0
6502,MEX2007,42590227361.0,56382366563.0,59943907535.0
