"International_data"
"https://www.eia.gov/beta/international/data/browser/#/?pa=0000000000000000000000000000000000g&c=ruvvvvvfvtvnvv1urvvvvfvvvvvvfvvvou20evvvvvvvvvnvvuvs&ct=0&tl_id=5-A&vs=INTL.53-1-AFG-TBPD.A&cy=2017&vo=0&v=T&end=2018"
"Fri May 24 2019 18:29:34 GMT+0200 (Central European Summer Time)"
"Source: U.S. Energy Information Administration"
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"","Petroleum and Other Liquids (annual)","1000 bbl/d"
"","Production",""
"","Total Petroleum and Other Liquids",""
"","Total Petroleum and Other Liquids",""
"","Congo (Kinshasa)","1000 bbl/d",20,20,23,25,32,33,32,32,30,28,29,28,26,25,26.060273972603,29.9,29.9,28.328767123288,26.838356164384,22,26.017034831257,24.017081502027,22.665753424658,22,21.084699453552,19.747945205479,20,22.156164383562,19.957650273224,22,21,20.161643835616,20,20,20,20,20,19.161643835616,17
"","Cook Islands","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Costa Rica","1000 bbl/d",0,0,0,0,0,0,-0.2,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.3,-0.1,-0.3,-0.3,-0.3,0,0,-0.00012561150273224,0.071376550279452,0.47779239318356,0.72921206918356,1.022570715892,1.877,1.856,2.637,2.308,1.226,-0.109,-0.04,1.259,1.324,1.331,1.479,1.571,1.571,1.571
"","Cote dIvoire (IvoryCoast)","1000 bbl/d",2,8,10,24,28,29,20,18,12,1.7,1.7,1.8,1.3,0.8,7.3,8.5232876712329,16.3,19.567123287671,20.9,16,12.36466683023,11.540633801321,13.074707633688,19.851584684148,27.776907194866,39.936,63.297,53.044,59.932027322404,58.480260273973,44.541876712329,40.27404109589,38.713300546448,38.083,37.04,30.357,50.357,55.357,53.357
"","Croatia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,41,43,47.3,41.7,37.9,38.2,40.2,33.4,33.41746741171,32.409404073047,31.222408886334,31.330154998077,28.777856438546,27.690534246575,25.628684931507,23.83561369863,22.098666666667,24.444821917808,23.606561643836,21.352054794521,20.685333333333,20.625260273973,20.049630136986,18.685178082192,18.527967213115,18.926,18.841068493151
"","Cuba","1000 bbl/d",6,9,11,13,16,19,17,17,13,13,12,12,16,19,24.1,25.767123287671,31.2,32.9,34.3,40.8,43.877990941475,51.462379943638,48.543994153009,56.275518304104,59.213100212169,53.455,52.25,51.634,50.699,46.342,56.489,58.401,55.29450273224,53.526,53.169,50.335,49.737333333333,49.904,49.904
"","Cyprus","1000 bbl/d",0,0,0,0,0,0,0.019478957945205,-0.014733573606849,-0.011273702290984,0.022656951031507,0.046594227334247,-0.034491628306849,-0.1,-0.2,-0.1,-0.2,0,-0.3,-0.3,-0.4,-0.36403034536612,-0.35683595966575,-0.25876247771507,-0.19135922351572,-0.072853044689945,0.02,0.02,0.02,0.2,0.2,0.11,0.13,0.13,0.04,0.03,0.02,0.01,0,0
"","Czech Republic","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,2.5,2.8,3.9,5.3,4.6,4.6,9.5602739726027,9.3624262295082,9.2454602739726,12.475347945205,15.345887671233,17.166756830601,17.544068493151,16.089369863014,13.743698630137,11.626568306011,10.390109589041,15.764780821918,16.278931506849,16.75,14.43,17.815,18.051616438356,15.586333333333,19.765,19.765
"","Denmark","1000 bbl/d",5.3,15,34,44,46,58,76,97,99,117,121,144,163,174,185.57808219178,187.27671232877,210.02349726776,233.28219178082,240.65342465753,302.58082191781,365.1792704918,348.98958356164,373.43235890411,378.40922465753,392.74489617486,380.78356986301,345.75681369863,315.27971232877,290.46788797814,264.30768493151,249.29043013699,225.07534520548,205.91418306011,180.12616712329,169.62871232877,160.76157534247,145.67361202186,142.44615068493,120.55026027397
"","Djibouti","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Dominica","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Dominican Republic","1000 bbl/d",1,1,1,1,1,1,-0.2,0.043513382586302,0.0371532626,0.090471067123288,-0.1,-0.2,-0.9,-0.5,-0.4,-1,-0.9,-1,-1,-0.4,-0.15426966131147,-0.094726502706849,-0.067024884010959,0.01194723910137,-0.44866592074863,-0.389,-0.309,-0.392,-0.266,0.035,-0.041,-0.104,-0.103,-0.112,-0.038,-0.116,-0.116,-0.116,-0.116
"","Ecuador","1000 bbl/d",207,214,214,240,261,284,295,175,303,281,286,301,324,349,369.92054794521,395.82739726027,397.8781420765,389.44520547945,376.29863013699,374.04383561644,396.31137048834,412.51130808656,392.71859217895,411.34176934341,529.00581736341,532.7554,536.38021917808,511.4226,505.26866393443,485.70717534247,486.09752054795,498.98002191781,503.39607923497,525.45440821918,556.01205753425,542.54650136986,548.37876502732,531.28128767123,517.24567123288
"","Egypt","1000 bbl/d",613,616,691,753,848,915,826,911,873,899,901,907,883,898,903.80547945205,929.5,933.66666666667,869.75753424658,848.30547945205,872.58904109589,793.33733793534,748.06048412683,742.55169132741,744.09538035803,700.09207131782,682.77354794521,662.73590410959,658.89397260274,691.0547704918,701.38593150685,694.51442465753,701.74564383562,703.89781967213,707.01438356164,706.61145205479,717.69342465753,682.9041420765,657.96846575342,667.7958630137
"","El Salvador","1000 bbl/d",0,0,0,0,0,0,0.0026354603189041,-0.047689205260274,-0.055283355585792,0.015081579947945,-0.061505170903014,-0.1,-0.043107022289618,-0.017101107643836,0,0,-0.1,-0.3,-0.5,-0.6,-0.59126354814754,-0.66929575263562,-0.27776510991233,-0.10588980609863,-0.20429063251005,0.966,5.308,4.297,4.182,1.772,-0.52,-0.377,-0.317,0,0,0,0,0,0
"","Equatorial Guinea","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0.1,1.6,4.5,5.0109589041096,5.0016438356164,17,52.421917808219,83,102,167.5,181.43835616438,212.56164383562,206.46587671233,368.20765027322,375.47671232877,362.86575342466,368.52876712329,359.20315300546,346.01606849315,322.71038356164,298.88803287671,310.4,290.79726027397,278,268,244,205.77808219178,184.23287671233
"","Eritrea","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.3,-0.3,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Estonia","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,-0.082593280327869,-0.066255650630137,0,0,0,7.3,4.4,3,4.747,5.1336174383342,5.5304040067288,6.1379645715397,6.5920429086339,6.9,7.28,7.4000219178082,7.6,9,10,11,11,13,13,16,16,16,16
"","Ethiopia","1000 bbl/d",0,0,0,0,0,0,-0.3,-0.3,-0.3,-0.3,-0.3,-0.05196,-0.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.167,0.211,0.296,0.354,0.354,0.354
"","Falkland Islands (Islas Malvinas)","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Faroe Islands","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Fiji","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Finland","1000 bbl/d",-0.4,0.8,2,3.1,4.2,4.2,4.8,5.4,5.4,5.2,5.7,6.6,7.4,7.5,8.9,9.2,8.9,8.4,9.1,9,8.2796912568306,7.800397260274,9.0128383561644,9.2844465753425,9.1551803278689,9.171,10.111,9.789,8.718,9.541,16.195,14.727,15.878,17.436,18.484,18.484,12.582,18.196,18.196
"","Former Czechoslovakia","1000 bbl/d",2.1,2.1,2.1,2.1,-4.5,-4.3,-2.7,-2.2,-0.8,-0.2,0.8,2.1,2.2,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"","Former Serbia and Montenegro","1000 bbl/d",--,--,--,--,--,--,--,--,--,--,--,--,23,23,26.9,24.9,24.8,22.9,21.4,20.9,18.742948963973,18.159295247989,17.162768234389,16.551886713764,16.411914189109,15.585643835616,--,--,--,--,--,--,--,--,--,--,--,--,--
"","Former U.S.S.R.","1000 bbl/d",11991,12150,12227,12302,12201,11935,12226,12390,12425,12026,11301,10313,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"","Former Yugoslavia","1000 bbl/d",88,88,89,87,84,90,87,90,87,77,72,68,--,--,--,--,--,--,--,--,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"","France","1000 bbl/d",83,92,86,89,93,106,107,111,119,116,112,113,114,112,116.15342465753,111.25479452055,105.16393442623,97.565753424658,88.893150684932,92.752876712329,93.209043715847,90.133028767123,86.213812328767,90.236426027397,89.104932513661,84.249739726027,89.19898630137,74.632506849315,77.166,76.311684931507,133.35393150685,129.4671369863,125.14536612022,127.38873972603,128.94398630137,132.33323287671,133.01403278689,120.10112328767,120.52030136986
"","French Guiana","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","French Polynesia","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"","Gabon","1000 bbl/d",176,152,157,158,158,173,166,155,159,208,270,294,297,312,328.44794520548,364.50684931507,368.0606557377,370.22876712329,351.66712328767,330.82739726027,314.79175632566,269.80234949958,251.04816599793,241.15960412592,238.77111505796,266.02890958904,236.8827260274,243.8965890411,247.74861202186,241.92776712329,245.27771232877,240.77242465753,229.617,219.546,219.576,212.93676712329,210.42767213115,198.45731506849,195.44361643836
"","Gambia, The","1000 bbl/d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
