,eci1,eci2,eci3,gdp_pc,population,res_exp1_to_gdp,res_exp2_to_gdp,res_exp3_to_gdp,oil_rents,res_rents,oil_prod_pc,map,code,year,T,t
146,0.26779006132429795,0.30190272738101614,0.2649569046474748,3929.9404789778064,19581.978802077185,0.0037960312160969624,0.005470860865137203,0.005799408068281205,0.0,0.0,0.0,ASM2010,ASM,2010,12,11
147,,,,,,,,,,,,ASM2015,ASM,2015,12,12
148,1.3161294256663794,1.351407981903473,1.2968385913566085,,,,,,,,,ATA2000,ATA,2000,4,1
149,1.3448738738316388,1.2675641858925644,1.3254552686436427,,,,,,,,,ATA2005,ATA,2005,4,2
150,0.5275485661330127,0.4081050846375878,0.33065076619385453,,,,,,,,,ATA2010,ATA,2010,4,3
151,,,,,,,,,,,,ATA2015,ATA,2015,4,4
152,1.054207458613649,1.1960396370438466,0.9616131940105053,,,,,,,,,ATF1975,ATF,1975,9,1
153,3.362347794062696,3.2602226654303683,2.7813885774304152,,,,,,,,,ATF1980,ATF,1980,9,2
154,1.2090635231154043,1.4565544979288556,2.0167482354318764,,,,,,,,,ATF1985,ATF,1985,9,3
155,1.3472864162093554,1.321444725336483,1.4006810602353175,,,,,,,,,ATF1990,ATF,1990,9,4
156,0.8973435744992089,0.9366942684118961,0.7973174113840423,,,,,,,,,ATF1995,ATF,1995,9,5
157,1.4628421731541321,1.4356892734528683,1.494585461618027,,,,,,,,,ATF2000,ATF,2000,9,6
158,0.514435363251561,0.4093848124075291,0.5517608728779785,,,,,,,,,ATF2005,ATF,2005,9,7
159,0.3835559078233934,0.30165481956784035,0.32171224167615625,,,,,,,,,ATF2010,ATF,2010,9,8
160,,,,,,,,,,,,ATF2015,ATF,2015,9,9
161,,,,,50279.20477823178,,,,,,,ATG1960,ATG,1960,12,1
162,-0.9881807711640436,-0.8993590903960498,-0.8993305015780242,,54913.377651341834,,,,,,,ATG1965,ATG,1965,12,2
163,1.443902310889421,1.2788957466446245,1.1316608529714554,,58982.562584358435,,,,,,,ATG1970,ATG,1970,12,3
164,0.8515706861810898,0.8647866010839131,0.950696659458344,1046.2927903336715,60946.696268286476,0.0031918474396936086,0.0032281798646041104,0.003861884074205101,,0.0,,ATG1975,ATG,1975,12,4
165,0.8185599900571531,0.5862624901604714,0.3836208345191216,1894.0696362034398,59147.18455577577,0.005615575647555895,0.005791755727893205,0.007985431172811768,0.0,0.0,0.0,ATG1980,ATG,1980,12,5
166,-0.7401604091767721,-0.5842443533620719,-0.9075588402902193,3995.3809482898323,53981.289969383986,0.002984765068907448,0.005104329648080869,0.006429158145674863,0.0,0.0,0.0,ATG1985,ATG,1985,12,6
167,-0.31370142391427147,-0.40602937196130284,-0.5232734551403752,5661.794464699435,52351.16990118892,0.008010710824635014,0.010353028244225394,0.0164804458428786,0.0,0.0,0.0,ATG1990,ATG,1990,12,7
168,-0.8072520813184304,-0.8005441863316887,-1.0499756659016515,6218.718742119012,55621.63639544885,0.01149012868868294,0.013268870618681877,0.015793612307993518,0.0,0.0,0.0,ATG1995,ATG,1995,12,8
169,-0.5163533097281758,-0.541849063770382,-0.6918612794855992,6366.654855659785,55918.004585525705,0.006882785241080657,0.010532384641119514,0.014771515262522874,0.0,0.0,0.0,ATG2000,ATG,2000,12,9
170,-0.47109321836876444,-0.553495846794523,-0.6330002487273607,7239.175434628397,49751.20513393136,0.0032335276834819,0.007353937361294709,0.008483783117284286,0.0,0.0,0.0,ATG2005,ATG,2005,12,10
171,-0.10675264867205077,-0.23257295643805675,-0.2661971513786274,4364.186143684581,34213.78587177982,0.010113191546572172,0.019521938278969884,0.023995929624812323,0.0,0.0,0.0,ATG2010,ATG,2010,12,11
172,,,,,,,,,,,,ATG2015,ATG,2015,12,12
173,-0.17324420235298704,-0.18172296826230108,-0.2811943048241511,1689.3344756169338,9411560.28200845,0.0015676194272237866,0.013470233784260429,0.035507117844795655,,,,AUS1960,AUS,1960,12,1
