,res_rents,map
663,0.359409777348344,EUU1974
664,0.5092043291311921,EUU1975
665,0.5644065010656479,EUU1976
666,0.534981748976622,EUU1977
667,0.455785539749495,EUU1978
668,0.692503033554227,EUU1979
669,0.8029996707947621,EUU1980
670,0.868607178897817,EUU1981
671,0.705508628093493,EUU1982
672,0.7830338548330191,EUU1983
673,0.7846666415791,EUU1984
674,0.8153261435936509,EUU1985
675,0.353645010625674,EUU1986
676,0.33993714345935194,EUU1987
677,0.29932871349393897,EUU1988
678,0.35473940467730297,EUU1989
679,0.392586453177388,EUU1990
680,0.24185597864836605,EUU1991
681,0.20050893599923,EUU1992
682,0.211198823271351,EUU1993
683,0.19670710307642605,EUU1994
684,0.204276695045552,EUU1995
685,0.241833627653756,EUU1996
686,0.21471405090677695,EUU1997
687,0.103135564261824,EUU1998
688,0.158842859272221,EUU1999
689,0.36265127205063297,EUU2000
690,0.37614792277037895,EUU2001
691,0.315533903079555,EUU2002
692,0.286675559563557,EUU2003
693,0.316437140115934,EUU2004
694,0.34950627084490193,EUU2005
695,0.428436893709088,EUU2006
696,0.4130061093015429,EUU2007
697,0.568535216415604,EUU2008
698,0.353259556821359,EUU2009
699,0.434313784095892,EUU2010
700,0.5250592678459729,EUU2011
701,0.460920818885185,EUU2012
702,0.3843413630114521,EUU2013
703,0.30880867595709005,EUU2014
704,0.21234194307174206,EUU2015
705,0.178166372638902,EUU2016
706,0.22721120384233,EUU2017
707,,EUU2018
708,,FCS1960
709,,FCS1961
710,,FCS1962
711,,FCS1963
712,,FCS1964
713,,FCS1965
714,,FCS1966
715,,FCS1967
716,,FCS1968
717,,FCS1969
718,4.09373915443609,FCS1970
719,7.442695665913758,FCS1971
720,7.7947558422854195,FCS1972
721,11.49183939188,FCS1973
722,24.1650894989193,FCS1974
723,21.889462670005894,FCS1975
724,22.2675866930473,FCS1976
725,20.725598969294698,FCS1977
726,19.6406067475551,FCS1978
727,2.76774595236641,FCS1979
728,29.326071432237395,FCS1980
729,14.4896832449824,FCS1981
730,12.1221594076,FCS1982
731,12.6262570013364,FCS1983
732,13.495832704647999,FCS1984
733,14.0661917095546,FCS1985
734,9.064209996222019,FCS1986
735,13.0297403938705,FCS1987
736,13.3275678242398,FCS1988
737,18.651974224691998,FCS1989
738,13.715288435536301,FCS1990
739,14.034877079970002,FCS1991
740,14.9205012611579,FCS1992
741,14.031793123042,FCS1993
742,15.461208554516,FCS1994
743,16.985168716235002,FCS1995
744,18.461905946926606,FCS1996
745,15.309103707785999,FCS1997
746,10.8259216081619,FCS1998
747,12.5249863157315,FCS1999
748,17.5244362368994,FCS2000
749,15.835688804610696,FCS2001
750,16.8493316662236,FCS2002
751,18.5442208020606,FCS2003
752,27.5481578229902,FCS2004
753,32.482813413216896,FCS2005
754,34.378905977502605,FCS2006
755,31.7763315156368,FCS2007
