,gdp,map
946,236434906.75427002,BEN1962
947,253927646.475909,BEN1963
948,269818988.259263,BEN1964
949,289908720.64862204,BEN1965
950,302925280.77356404,BEN1966
951,306222000.407316,BEN1967
952,326323097.355964,BEN1968
953,330748211.459737,BEN1969
954,333627758.154666,BEN1970
955,335072975.215766,BEN1971
956,410331900.950531,BEN1972
957,504376035.716401,BEN1973
958,554654786.9651071,BEN1974
959,676870140.341529,BEN1975
960,698408244.385343,BEN1976
961,750049739.152238,BEN1977
962,928843304.783965,BEN1978
963,1186231265.18417,BEN1979
964,1405251547.2388198,BEN1980
965,1291119965.1126199,BEN1981
966,1267778489.03079,BEN1982
967,1095348302.91865,BEN1983
968,1051133927.00009,BEN1984
969,1045712703.02696,BEN1985
970,1336102040.71025,BEN1986
971,1562412030.34838,BEN1987
972,1620246187.15171,BEN1988
973,1502294411.46202,BEN1989
974,1959965243.7626898,BEN1990
975,1986437859.9034603,BEN1991
976,1695315305.7030802,BEN1992
977,2274557914.07481,BEN1993
978,1598075932.3543198,BEN1994
979,2169627250.9337897,BEN1995
980,2361116587.86079,BEN1996
981,2268301537.65128,BEN1997
982,2455092582.30927,BEN1998
983,2689787917.50711,BEN1999
984,2569186642.86999,BEN2000
985,2680213931.46472,BEN2001
986,3054571081.6912,BEN2002
987,3905366187.87017,BEN2003
988,4521424807.22519,BEN2004
989,4803702821.08055,BEN2005
990,5142380779.44103,BEN2006
991,5969535131.58016,BEN2007
992,7132787396.66547,BEN2008
993,7097198711.6102295,BEN2009
994,6970240895.498879,BEN2010
995,7814081155.649879,BEN2011
996,8152554487.31321,BEN2012
997,9157355679.70205,BEN2013
998,9707432015.614408,BEN2014
999,8291155880.59505,BEN2015
1000,8573159696.6112795,BEN2016
1001,9246696923.66155,BEN2017
1002,,BEN2018
1003,330442817.168859,BFA1960
1004,350247237.11684,BFA1961
