,gdp_cons,map
717,137470068345.607,AUT1969
718,146159747322.549,AUT1970
719,153635772670.608,AUT1971
720,163173267863.47302,AUT1972
721,171153151159.323,AUT1973
722,177900244807.952,AUT1974
723,177253158036.87698,AUT1975
724,185368597102.92398,AUT1976
725,194785286243.434,AUT1977
726,194374964316.0,AUT1978
727,204787047701.607,AUT1979
728,208332905591.186,AUT1980
729,208032292628.472,AUT1981
730,212216351195.68,AUT1982
731,218525730110.73,AUT1983
732,218637779730.792,AUT1984
733,224100834862.97897,AUT1985
734,229258275343.493,AUT1986
735,232369695258.04102,AUT1987
736,240028322052.06198,AUT1988
737,249358402441.892,AUT1989
738,260194624813.073,AUT1990
739,269149554294.00198,AUT1991
740,274784266755.542,AUT1992
741,276231856329.01,AUT1993
742,282867273580.389,AUT1994
743,290414126234.635,AUT1995
744,297237508056.37,AUT1996
745,303460462050.854,AUT1997
746,314328689139.021,AUT1998
747,325507255365.782,AUT1999
748,336495475309.688,AUT2000
749,340759446602.411,AUT2001
750,346387257223.224,AUT2002
751,349648400806.147,AUT2003
752,359211698966.039,AUT2004
753,367272649488.20294,AUT2005
754,379958397501.95703,AUT2006
755,394121024471.145,AUT2007
756,399876867204.146,AUT2008
757,384823180705.02295,AUT2009
758,391892746544.69,AUT2010
759,403346978477.779,AUT2011
760,406091530301.534,AUT2012
761,406195100294.014,AUT2013
762,408881165533.779,AUT2014
763,413554595891.40295,AUT2015
764,421989351972.106,AUT2016
765,432753797159.88,AUT2017
766,,AUT2018
767,,AZE1960
768,,AZE1961
769,,AZE1962
770,,AZE1963
771,,AZE1964
772,,AZE1965
773,,AZE1966
774,,AZE1967
775,,AZE1968
776,,AZE1969
777,,AZE1970
778,,AZE1971
779,,AZE1972
780,,AZE1973
781,,AZE1974
782,,AZE1975
783,,AZE1976
784,,AZE1977
785,,AZE1978
786,,AZE1979
787,,AZE1980
788,,AZE1981
789,,AZE1982
790,,AZE1983
791,,AZE1984
792,,AZE1985
793,,AZE1986
794,,AZE1987
795,,AZE1988
796,,AZE1989
797,22325675014.6271,AZE1990
798,22169395298.4412,AZE1991
799,17159111873.5004,AZE1992
800,13195357108.1839,AZE1993
801,10595871755.3639,AZE1994
802,9345558792.935879,AZE1995
803,9467051075.91296,AZE1996
804,10016140087.9139,AZE1997
805,11017754124.5694,AZE1998
806,11833067993.8748,AZE1999
807,13146538452.8659,AZE2000
808,14448045759.6996,AZE2001
809,15979538494.8706,AZE2002
810,17769246844.1912,AZE2003
811,19581710093.0734,AZE2004
812,24751281715.9126,AZE2005
813,33290473786.6938,AZE2006
814,41629404406.7868,AZE2007
815,46113899018.7892,AZE2008
816,50453518392.5171,AZE2009
817,52902703376.1056,AZE2010
818,52937578302.4383,AZE2011
819,54102205124.8452,AZE2012
820,57238335961.2495,AZE2013
821,58383102680.4744,AZE2014
822,59025316698.5035,AZE2015
823,57195531761.5917,AZE2016
824,57252727186.9126,AZE2017
825,,AZE2018
826,597069961.546072,BDI1960
827,514995918.26075,BDI1961
828,561670811.6894469,BDI1962
829,584898188.110763,BDI1963
830,621589073.145239,BDI1964
831,646248914.0357031,BDI1965
832,676060330.5301981,BDI1966
833,769502134.875392,BDI1967
834,767209913.650335,BDI1968
835,756012169.305851,BDI1969
836,917236835.232064,BDI1970
837,942431759.9734651,BDI1971
838,882078760.642376,BDI1972
839,942845613.8346801,BDI1973
840,935992638.90365,BDI1974
841,942525120.939625,BDI1975
842,1017386695.90918,BDI1976
843,1134075385.27516,BDI1977
844,1123408544.50219,BDI1978
845,1142112790.67558,BDI1979
846,1153431764.87503,BDI1980
847,1293726848.95154,BDI1981
848,1280096145.19707,BDI1982
849,1327655902.79585,BDI1983
850,1329720991.95726,BDI1984
851,1486404412.37271,BDI1985
852,1534715238.11495,BDI1986
853,1619172092.81896,BDI1987
854,1700633035.37323,BDI1988
855,1723583116.10835,BDI1989
856,1783905459.60785,BDI1990
857,1873044297.8728,BDI1991
858,1891962014.6731699,BDI1992
859,1773903584.97266,BDI1993
860,1705963077.72688,BDI1994
861,1570850801.9597,BDI1995
862,1445182737.78136,BDI1996
863,1422204332.2911,BDI1997
864,1489759037.96207,BDI1998
865,1474712471.73528,BDI1999
866,1462076190.5881,BDI2000
867,1492133656.85778,BDI2001
868,1558481669.6661198,BDI2002
869,1539410093.7348,BDI2003
870,1613819909.2142,BDI2004
871,1628344288.44335,BDI2005
872,1716499707.8749,BDI2006
873,1775752462.2736,BDI2007
874,1862084450.49236,BDI2008
875,1933081018.33396,BDI2009
876,2032135246.5000398,BDI2010
877,2114083183.1776302,BDI2011
878,2208090293.90699,BDI2012
879,2316820971.52452,BDI2013
880,2415069278.1346197,BDI2014
881,2320881501.7463603,BDI2015
882,2306955748.5603,BDI2016
883,2318490757.99747,BDI2017
884,,BDI2018
885,120764863189.279,BEL1960
886,126777048990.526,BEL1961
887,133384673232.843,BEL1962
888,139189019707.401,BEL1963
889,148871960992.012,BEL1964
890,154172785119.867,BEL1965
891,159038316308.665,BEL1966
892,165190152085.361,BEL1967
893,172118441191.469,BEL1968
894,183529549253.245,BEL1969
895,193792159413.007,BEL1970
896,201516380314.862,BEL1971
897,212187890638.53897,BEL1972
898,225729089706.297,BEL1973
899,236034205156.03897,BEL1974
900,231393910573.88602,BEL1975
901,244474020273.279,BEL1976
902,246004806085.374,BEL1977
903,252996008246.37,BEL1978
904,258918829646.89,BEL1979
905,270425322309.48398,BEL1980
906,269670068733.525,BEL1981
907,271274570421.547,BEL1982
908,272120520451.82898,BEL1983
909,278832053833.57697,BEL1984
910,283437781732.075,BEL1985
911,288604178235.647,BEL1986
912,295261293665.336,BEL1987
913,309207101358.308,BEL1988
914,319934011562.337,BEL1989
915,329971629163.815,BEL1990
916,336020254199.932,BEL1991
917,341163564395.922,BEL1992
918,337882003882.909,BEL1993
919,348785359740.469,BEL1994
920,357103043851.13,BEL1995
921,362793146259.83704,BEL1996
922,376254386247.224,BEL1997
923,383686442689.97205,BEL1998
924,397358386026.319,BEL1999
925,411797007026.65704,BEL2000
926,415138919310.62103,BEL2001
927,422530493925.20795,BEL2002
928,425803276682.695,BEL2003
929,441279866082.04706,BEL2004
930,450521469885.385,BEL2005
931,461812169170.948,BEL2006
932,477739949852.491,BEL2007
933,481481480330.318,BEL2008
934,470632861743.55396,BEL2009
935,483548031197.108,BEL2010
936,492243705517.819,BEL2011
937,493399388894.948,BEL2012
938,494389453126.26294,BEL2013
939,500592443806.03296,BEL2014
940,509186020761.815,BEL2015
941,516766169314.45,BEL2016
942,525514413485.334,BEL2017
943,,BEL2018
944,1265426252.94345,BEN1960
945,1305176840.54665,BEN1961
946,1260456133.0762599,BEN1962
947,1320076060.7892,BEN1963
948,1407871139.7750301,BEN1964
949,1482401906.79932,BEN1965
950,1535410564.13499,BEN1966
951,1551968411.17281,BEN1967
952,1611600246.49176,BEN1968
953,1657974010.96677,BEN1969
954,1692754286.41874,BEN1970
955,1667416432.2107,BEN1971
956,1774570740.64173,BEN1972
957,1840339265.9851,BEN1973
958,1901793938.89223,BEN1974
959,1808694555.93412,BEN1975
960,1824689860.7842898,BEN1976
961,1915626267.4681,BEN1977
962,1939668871.9268699,BEN1978
963,2066440729.96277,BEN1979
964,2206581860.81568,BEN1980
965,2426230120.12225,BEN1981
966,2480457972.9783697,BEN1982
967,2372612057.3104,BEN1983
968,2560756386.93725,BEN1984
969,2753589661.14604,BEN1985
970,2813373991.7136197,BEN1986
971,2771173298.8590198,BEN1987
972,2865538547.23059,BEN1988
973,2783751478.01027,BEN1989
974,3033624750.94295,BEN1990
975,3161819648.03392,BEN1991
976,3255337130.0753303,BEN1992
977,3445324207.02456,BEN1993
978,3514933552.72688,BEN1994
979,3727418268.32545,BEN1995
980,3888602421.28731,BEN1996
981,4111601652.35799,BEN1997
982,4274462692.87475,BEN1998
983,4502780953.5408,BEN1999
984,4766643561.74839,BEN2000
985,5020725247.663529,BEN2001
986,5253911326.863,BEN2002
987,5434858389.27326,BEN2003
988,5675602453.88052,BEN2004
989,5772744795.73959,BEN2005
990,6000595826.4159,BEN2006
991,6359822426.97484,BEN2007
992,6670811297.13694,BEN2008
993,6826194585.37376,BEN2009
994,6970240895.498879,BEN2010
995,7176751732.08258,BEN2011
996,7522418417.64518,BEN2012
997,8063258961.67978,BEN2013
998,8575423619.90242,BEN2014
999,8755148067.026129,BEN2015
1000,9102277422.82945,BEN2016
1001,9633652295.47865,BEN2017
1002,,BEN2018
1003,1153497471.75521,BFA1960
1004,1200144078.72412,BFA1961
1005,1273698494.3963401,BFA1962
1006,1257547788.94945,BFA1963
1007,1286255331.61624,BFA1964
1008,1334676997.2850401,BFA1965
1009,1341852395.43964,BFA1966
1010,1460248258.7904,BFA1967
1011,1505089181.74741,BFA1968
